"","SYMBOL","ENSEMBL","ENTREZID"
"348","KCTD18","ENSG00000155729","130535"
"349","ZNF687","ENSG00000143373","57592"
"350","ATP8B3","ENSG00000130270","148229"
"351","TCEANC","ENSG00000176896","170082"
"352","ANTKMT","ENSG00000103254","65990"
"353","STAG3L5P","ENSG00000242294","101735302"
"354","NEURL1-AS1","ENSG00000235470","102724341"
"355","PDLIM4","ENSG00000131435","8572"
"356","MYL2","ENSG00000111245","4633"
"357","C10orf55","ENSG00000222047","414236"
"358","STX11","ENSG00000135604","8676"
"359","RMDN3","ENSG00000137824","55177"
"360","SPTSSA","ENSG00000165389","171546"
"361","LRP4","ENSG00000134569","4038"
"362","CHRDL1","ENSG00000101938","91851"
"363","CGB1","ENSG00000267631","114335"
"364","DEFB132","ENSG00000186458","400830"
"365","CHST3","ENSG00000122863","9469"
"366","FMNL2","ENSG00000157827","114793"
"367","HHIP-AS1","ENSG00000248890","646576"
"368","MYL9","ENSG00000101335","10398"
"369","NRG1","ENSG00000157168","3084"
"370","MOXD1","ENSG00000079931","26002"
"371","CTNND2","ENSG00000169862","1501"
"372","ZFYVE19","ENSG00000166140","84936"
"373","IL1RAP","ENSG00000196083","3556"
"374","LINC00601","ENSG00000235180","101101772"
"375","TIGD5","ENSG00000179886","84948"
"376","TIGD5","ENSG00000278016","84948"
"377","THADA","ENSG00000115970","63892"
"378","EXT2","ENSG00000151348","2132"
"379","NPPB","ENSG00000120937","4879"
"380","ZBTB7B","ENSG00000160685","51043"
"381","L1CAM","ENSG00000198910","3897"
"382","CCN1","ENSG00000142871","3491"
"383","LINC02783","ENSG00000204362","400743"
"384","LINC02783","ENSG00000281226","400743"
"385","HYPK","ENSG00000242028","25764"
"386","ICAM3","ENSG00000076662","3385"
"387","ZNRF2","ENSG00000180233","223082"
"388","HSP90B1","ENSG00000166598","7184"
"389","TRHDE","ENSG00000072657","29953"
"390","SMIM14","ENSG00000163683","201895"
"391","PHLDB1","ENSG00000019144","23187"
"392","LINC02454","ENSG00000256268","105369807"
"393","AKT3","ENSG00000117020","10000"
"394","AKT3","ENSG00000275199","10000"
"395","KIAA0355","ENSG00000166398","9710"
"396","KIAA0355","ENSG00000279389","9710"
"397","KIAA0355","ENSG00000282735","9710"
"398","SH2D5","ENSG00000189410","400745"
"399","EHBP1","ENSG00000115504","23301"
"400","DUSP28","ENSG00000188542","285193"
"401","COL6A1","ENSG00000142156","1291"
"402","NFATC2","ENSG00000101096","4773"
"403","UNC13C","ENSG00000137766","440279"
"404","COL9A3","ENSG00000092758","1299"
"405","ITPK1-AS1","ENSG00000258730","319085"
"406","C17orf58","ENSG00000186665","284018"
"407","TRIM11","ENSG00000154370","81559"
"408","MID1","ENSG00000101871","4281"
"409","CD83","ENSG00000112149","9308"
"410","FXYD5","ENSG00000089327","53827"
"411","KCNIP1","ENSG00000182132","30820"
"412","CLHC1","ENSG00000162994","130162"
"413","COL11A1","ENSG00000060718","1301"
"414","ARAP3","ENSG00000120318","64411"
"415","RASAL2","ENSG00000075391","9462"
"416","FOXP3","ENSG00000049768","50943"
"417","TWSG1","ENSG00000128791","57045"
"418","FAM151B","ENSG00000152380","167555"
"419","LAMC2","ENSG00000058085","3918"
"420","TOX","ENSG00000198846","9760"
"421","MMP24","ENSG00000125966","10893"
"422","GCHFR","ENSG00000137880","2644"
"423","IL27","ENSG00000197272","246778"
"424","UFSP1","ENSG00000176125","402682"
"425","VMO1","ENSG00000182853","284013"
"426","BLM","ENSG00000197299","641"
"427","DENND3","ENSG00000105339","22898"
"428","CKAP4","ENSG00000136026","10970"
"429","LINC01776","ENSG00000226053","729987"
"430","UTS2B","ENSG00000188958","257313"
"431","FOXO3B","ENSG00000240445","2310"
"432","DUOXA2","ENSG00000140274","405753"
"433","DYRK1A","ENSG00000157540","1859"
"434","GLIPR1","ENSG00000139278","11010"
"435","ZKSCAN1","ENSG00000106261","7586"
"436","LCN10","ENSG00000187922","414332"
"437","RGS9","ENSG00000108370","8787"
"438","LRP4-AS1","ENSG00000247675","100507401"
"439","RASL10A","ENSG00000100276","10633"
"440","WDR55","ENSG00000120314","54853"
"441","PHYHIP","ENSG00000168490","9796"
"442","CD109","ENSG00000156535","135228"
