block_id,drug_row,drug_col,conc_r,conc_c,response,conc_r_unit,conc_c_unit
2,Dasatinib,AZD3759,0.001953125,0.15625,78.47458463,uM,uM
2,Dasatinib,AZD3759,0.00390625,0.3125,71.04471725,uM,uM
2,Dasatinib,AZD3759,0.0078125,0.625,64.74880442,uM,uM
2,Dasatinib,AZD3759,0.015625,1.25,58.25075186,uM,uM
2,Dasatinib,AZD3759,0.03125,2.5,49.68692994,uM,uM
2,Dasatinib,AZD3759,0.0625,5,46.79781097,uM,uM
2,Dasatinib,AZD3759,0.125,10,51.03781492,uM,uM
2,Dasatinib,AZD3759,0.25,20,54.89326037,uM,uM
3,Dasatinib,AZD7762,0.001953125,0,89.57110609,uM,uM
3,Dasatinib,AZD7762,0.00390625,0,86.62015186,uM,uM
3,Dasatinib,AZD7762,0.0078125,0,82.07674944,uM,uM
3,Dasatinib,AZD7762,0.015625,0,76.07633901,uM,uM
3,Dasatinib,AZD7762,0.03125,0,64.0960394,uM,uM
3,Dasatinib,AZD7762,0.0625,0,51.5083111,uM,uM
3,Dasatinib,AZD7762,0.125,0,37.52924277,uM,uM
3,Dasatinib,AZD7762,0.25,0,31.58218756,uM,uM
3,Dasatinib,AZD7762,0,0.078125,86.46206673,uM,uM
3,Dasatinib,AZD7762,0,0.15625,58.64626448,uM,uM
3,Dasatinib,AZD7762,0,0.3125,42.29965855,uM,uM
3,Dasatinib,AZD7762,0,0.625,38.59169422,uM,uM
3,Dasatinib,AZD7762,0,1.25,37.77834301,uM,uM
3,Dasatinib,AZD7762,0,2.5,38.0535066,uM,uM
3,Dasatinib,AZD7762,0,5,37.96448309,uM,uM
3,Dasatinib,AZD7762,0,10,39.2957893,uM,uM
3,Dasatinib,AZD7762,0.001953125,0.078125,79.70240273,uM,uM
3,Dasatinib,AZD7762,0.00390625,0.15625,56.06049518,uM,uM
3,Dasatinib,AZD7762,0.0078125,0.3125,42.85400659,uM,uM
3,Dasatinib,AZD7762,0.015625,0.625,42.18075375,uM,uM
3,Dasatinib,AZD7762,0.03125,1.25,41.27820466,uM,uM
3,Dasatinib,AZD7762,0.0625,2.5,42.31735578,uM,uM
3,Dasatinib,AZD7762,0.125,5,43.51262349,uM,uM
3,Dasatinib,AZD7762,0.25,10,41.78558361,uM,uM
3,Dasatinib,AZD7762,0.001953125,0,91.27663449,uM,uM
3,Dasatinib,AZD7762,0.00390625,0,85.78127846,uM,uM
3,Dasatinib,AZD7762,0.0078125,0,81.42414861,uM,uM
3,Dasatinib,AZD7762,0.015625,0,76.27481333,uM,uM
3,Dasatinib,AZD7762,0.03125,0,71.30304134,uM,uM
3,Dasatinib,AZD7762,0.0625,0,61.83755236,uM,uM
3,Dasatinib,AZD7762,0.125,0,46.75377891,uM,uM
3,Dasatinib,AZD7762,0.25,0,31.47423056,uM,uM
3,Dasatinib,AZD7762,0,0.078125,91.6655174,uM,uM
3,Dasatinib,AZD7762,0,0.15625,61.65586356,uM,uM
