"","Ensembl ID","Gene Symbol","BH-Adjusted P-Value","T-Statistic","Average Expression","Log2 Fold Change in Expression"
"163","ENSG00000072163","LIMS2",0.0235,-4.2778,-1.0924,-3.4968
"164","ENSG00000149308","NPAT",0.0237,-4.273,4.64,-0.6867
"165","ENSG00000140545","MFGE8",0.0242,-4.264,4.3477,-2.8392
"166","ENSG00000166816","LDHD",0.0242,4.2636,0.593,2.7742
"167","ENSG00000260025",NA,0.0246,-4.2576,-2.4303,-2.8085
"168","ENSG00000108797","CNTNAP1",0.0248,-4.2532,2.3159,-2.412
"169","ENSG00000270164","LINC01480",0.0248,4.2513,-3.8624,2.8817
"170","ENSG00000202522",NA,0.0249,4.2464,-5.8438,2.0615
"171","ENSG00000169918","OTUD7A",0.0249,4.2445,-1.7446,2.2404
"172","ENSG00000152601","MBNL1",0.0249,-4.2435,6.743,-0.9824
"173","ENSG00000204767","INSYN2B",0.0249,-4.2424,-4.2508,-3.8643
"174","ENSG00000229453","SPINK8",0.0249,4.2412,-4.8056,4.3114
"175","ENSG00000135862","LAMC1",0.0251,-4.2377,7.4718,-2.2963
"176","ENSG00000124664","SPDEF",0.0252,4.2323,2.5698,5.3491
"177","ENSG00000142871","CCN1",0.0252,-4.2317,6.0796,-2.5889
"178","ENSG00000124795","DEK",0.0252,-4.2314,7.9794,-0.8381
"179","ENSG00000143641","GALNT2",0.0253,-4.2277,6.8175,-1.1725
"180","ENSG00000257674",NA,0.0253,-4.2273,-4.9481,-2.2311
"181","ENSG00000148396","SEC16A",0.0253,4.2252,7.847,0.8728
"182","ENSG00000259431","THTPA",0.0255,4.2214,2.2643,1.0349
"183","ENSG00000268669",NA,0.0255,-4.2179,-6.4974,-2.181
"184","ENSG00000183722","LHFPL6",0.0255,-4.2179,0.7629,-3.8058
"185","ENSG00000268355",NA,0.0256,4.216,-4.6387,2.8398
"186","ENSG00000143553","SNAPIN",0.0256,4.2137,4.9394,0.6863
"187","ENSG00000157227","MMP14",0.0256,-4.211,4.5279,-3.6923
"188","ENSG00000163453","IGFBP7",0.0256,-4.2085,1.2678,-4.1968
"189","ENSG00000162694","EXTL2",0.0256,-4.208,4.0365,-0.999
"190","ENSG00000269190","FBXO17",0.0256,-4.2076,1.8645,-3.9512
"191","ENSG00000166396","SERPINB7",0.0266,-4.1948,-1.2884,-4.6662
"192","ENSG00000164741","DLC1",0.027,-4.1882,1.9444,-3.9015
"193","ENSG00000241155","ARHGAP31-AS1",0.027,-4.1882,-3.5966,-2.8598
"194","ENSG00000134013","LOXL2",0.027,-4.186,3.4183,-4.0817
"195","ENSG00000100219","XBP1",0.0274,4.1803,7.6466,2.0888
"196","ENSG00000247675","LRP4-AS1",0.0275,-4.1761,-2.9086,-2.0666
"197","ENSG00000251196",NA,0.0275,-4.1758,-2.7424,-3.7002
"198","ENSG00000165410","CFL2",0.0275,-4.175,4.4757,-2.0098
"199","ENSG00000068366","ACSL4",0.0277,-4.1691,4.7286,-3.1846
"200","ENSG00000197614","MFAP5",0.0277,-4.169,-2.2928,-3.8135
"201","ENSG00000117152","RGS4",0.0277,-4.168,-1.3227,-3.3712
"202","ENSG00000106261","ZKSCAN1",0.0278,4.1648,7.0802,0.7853
"203","ENSG00000136244","IL6",0.0278,-4.1647,-1.7623,-3.8581
"204","ENSG00000180758","GPR157",0.0278,4.1629,4.1473,1.1265
"205","ENSG00000163683","SMIM14",0.0279,4.159,5.6041,1.8229
"206","ENSG00000213830",NA,0.0279,4.152,-2.5385,1.4524
"207","ENSG00000229852","LOC122539212",0.0279,-4.1515,0.3164,-2.5297
"208","ENSG00000130222","GADD45G",0.0279,4.1501,0.7237,2.9534
"209","ENSG00000240050",NA,0.0279,-4.1495,-4.0184,-2.0066
"210","ENSG00000226419","SLC16A1-AS1",0.0279,-4.1494,-0.0337,-2.8565
"211","ENSG00000137807","KIF23",0.0279,-4.1493,6.7528,-0.767
"212","ENSG00000105649","RAB3A",0.0279,4.1483,1.6632,1.5617
"213","ENSG00000203914","HSP90B3P",0.0279,-4.148,-1.8206,-0.8756
"214","ENSG00000271948",NA,0.0279,-4.1471,-2.51,-1.7067
"215","ENSG00000108176","DNAJC12",0.0279,4.1466,-0.4825,2.9548
"216","ENSG00000215414",NA,0.0281,4.1416,-0.4859,0.8454
"217","ENSG00000254419",NA,0.0281,4.1414,-2.0045,1.8565
"218","ENSG00000149633","KIAA1755",0.0281,-4.1398,-3.6695,-2.9445
"219","ENSG00000196569","LAMA2",0.0286,-4.1327,-0.3863,-3.6941
"220","ENSG00000225383","SFTA1P",0.0286,-4.1313,-3.5714,-4.7357
"221","ENSG00000137221","TJAP1",0.0286,-4.1309,5.3164,-0.5937
"222","ENSG00000022267","FHL1",0.0287,-4.1289,0.82,-3.5807
"223","ENSG00000135622","SEMA4F",0.0292,-4.1222,3.6398,-1.1786
"224","ENSG00000225726",NA,0.0294,4.1156,-4.6992,1.6985
"225","ENSG00000135338","LCA5",0.0294,-4.1149,1.4231,-1.86
"226","ENSG00000072135","PTPN18",0.0294,4.1143,5.2455,0.8146
"227","ENSG00000169683","LRRC45",0.0294,4.1143,5.0639,0.9783
"228","ENSG00000272654",NA,0.0294,4.1133,0.787,1.0537
"229","ENSG00000119326","CTNNAL1",0.0297,-4.1077,5.3175,-1.4889
"230","ENSG00000055609","KMT2C",0.0297,4.1076,6.9389,0.7456
"231","ENSG00000106541","AGR2",0.0297,4.1041,4.8415,5.0716
"232","ENSG00000258623",NA,0.0297,-4.1028,-4.7554,-2.2563
"233","ENSG00000273415",NA,0.0297,-4.1017,-6.3474,-2.5059
"234","ENSG00000131779","PEX11B",0.0297,4.1014,4.9471,0.8992
"235","ENSG00000213067",NA,0.0297,-4.101,-5.3192,-2.3721
"236","ENSG00000090530","P3H2",0.0297,-4.0983,2.3624,-4.371
"237","ENSG00000155380","SLC16A1",0.0297,-4.0979,5.7697,-2.8219
"238","ENSG00000234252",NA,0.0297,4.0976,-1.6297,1.5687
"239","ENSG00000155792","DEPTOR",0.0299,4.0945,2.9364,2.4604
"240","ENSG00000227038",NA,0.0302,4.0882,-1.5477,2.7748
"241","ENSG00000203403",NA,0.0302,-4.0879,-4.3789,-2.5597
"242","ENSG00000183087","GAS6",0.0302,-4.0877,4.5605,-3.2406
"243","ENSG00000128591","FLNC",0.0302,-4.0865,2.4452,-3.7398
"244","ENSG00000141664","ZCCHC2",0.0302,4.0832,4.6458,0.8813
"245","ENSG00000203709",NA,0.0302,4.0818,2.1497,1.7519
"246","ENSG00000240216",NA,0.0302,4.081,-2.1472,3.7601
"247","ENSG00000161133",NA,0.0302,4.0809,-3.035,2.8924
"248","ENSG00000179627","ZBTB42",0.0302,4.0806,3.935,1.5958
"249","ENSG00000066583","ISOC1",0.0302,4.0797,5.2495,1.0548
"250","ENSG00000178404","CEP295NL",0.0302,-4.0782,-2.8863,-2.5231
"251","ENSG00000166477","LEO1",0.0303,4.0761,5.4857,0.8271
"252","ENSG00000232627",NA,0.0303,-4.0745,-5.7788,-2.2523
"253","ENSG00000049192","ADAMTS6",0.0303,-4.0719,-0.3663,-3.078
"254","ENSG00000125733","TRIP10",0.0303,-4.0715,5.6385,-1.0827
"255","ENSG00000166598","HSP90B1",0.0303,-4.0711,9.9714,-0.8499
"256","ENSG00000181027","FKRP",0.0305,-4.0673,4.1178,-0.8946
"257","ENSG00000139278","GLIPR1",0.0305,-4.0672,1.8478,-2.4581
"258","ENSG00000261327",NA,0.0309,-4.0616,-6.6269,-2.5028
"259","ENSG00000178764","ZHX2",0.0309,4.0609,4.0925,2.8121
"260","ENSG00000140264","SERF2",0.0309,4.0584,7.2643,1.0281
"261","ENSG00000164465","DCBLD1",0.0309,-4.0582,4.4268,-1.2429
"262","ENSG00000158163","DZIP1L",0.0311,-4.0558,0.4173,-3.2238
"263","ENSG00000111716","LDHB",0.0319,-4.0469,6.9137,-3.7099
"264","ENSG00000142173","COL6A2",0.0323,-4.0419,3.0283,-4.3023
"265","ENSG00000260711",NA,0.0328,4.0355,-0.2453,3.9646
"266","ENSG00000175294","CATSPER1",0.0328,-4.0344,-1.9727,-2.7606
"267","ENSG00000239948","RN7SL368P",0.0328,-4.0341,-6.0745,-1.917
"268","ENSG00000140279","DUOX2",0.0328,-4.0327,-2.9315,-2.5152
"269","ENSG00000254429",NA,0.0329,4.0298,-0.0305,2.1764
"270","ENSG00000143450","OAZ3",0.0329,4.0291,0.3005,1.5808
"271","ENSG00000076067","RBMS2",0.0329,-4.0285,4.1187,-1.228
"272","ENSG00000242221","PSG2",0.033,-4.0262,-5.3949,-3.6088
"273","ENSG00000254440","PBOV1",0.0331,4.025,-5.1242,2.195
"274","ENSG00000235241","LOC107985101",0.0334,-4.0213,-4.8602,-2.7609
"275","ENSG00000204991","SPIRE2",0.0342,4.0126,4.2717,1.1661
"276","ENSG00000114554","PLXNA1",0.0343,-4.0105,7.079,-0.9865
"277","ENSG00000236750",NA,0.0345,-4.0066,-6.4923,-2.2759
"278","ENSG00000126262","FFAR2",0.0345,4.0052,-3.1462,3.7679
"279","ENSG00000171150","SOCS5",0.0345,-4.0047,4.779,-0.9007
"280","ENSG00000176896","TCEANC",0.0345,4.0045,1.1651,0.9802
"281","ENSG00000158427","TMSB15B",0.0346,-4.0026,0.2979,-2.9804
"282","ENSG00000114654","EFCC1",0.035,3.9981,-2.4905,3.1741
"283","ENSG00000128791","TWSG1",0.0351,-3.9966,5.8987,-1.2528
"284","ENSG00000224594",NA,0.0351,-3.9956,-4.5466,-3.1695
"285","ENSG00000231787","H2BP9",0.0353,-3.9903,-6.0857,-1.7538
"286","ENSG00000237423",NA,0.0353,3.9901,-5.4627,2.7406
"287","ENSG00000144579","CTDSP1",0.0353,3.9876,6.0421,0.8134
"288","ENSG00000243797",NA,0.0353,-3.9876,-6.0662,-2.3732
"289","ENSG00000116299","ELAPOR1",0.0353,3.9871,2.3692,4.4092
"290","ENSG00000251408",NA,0.0353,3.9857,-6.8602,1.6382
"291","ENSG00000163444","TMEM183A",0.0353,3.9852,6.0729,0.6784
"292","ENSG00000143469","SYT14",0.0353,-3.9852,-3.173,-4.2571
"293","ENSG00000242687",NA,0.0355,3.9828,1.3329,0.8507
"294","ENSG00000103245","CIAO3",0.0356,3.9807,4.7216,0.6916
"295","ENSG00000101938","CHRDL1",0.0361,-3.9753,-1.9905,-4.2914
